Time, Ambient, Target, Weight
1002, 43.17, 74.15, 1100834.00
1003, 43.19, 73.99, 1100243.00
1004, 43.19, 73.37, 1100117.00
1005, 43.23, 72.87, 1100290.00
1006, 43.27, 73.23, 1100421.00
1007, 43.27, 73.29, 1100358.00
1007, 43.29, 73.37, 1100270.00
1008, 43.33, 72.93, 1100300.00
1009, 43.29, 72.67, 1100315.00
1010, 43.33, 72.73, 1100179.00
1011, 43.35, 72.93, 1100215.00
1012, 43.37, 72.67, 1100287.00
1012, 43.35, 72.09, 1100350.00
1013, 43.35, 71.77, 1100217.00
1014, 43.37, 71.75, 1100235.00
